Name,Region,Code
Alabama,South Region,AL
Alaska,West Region,AK
Arizona,West Region,AZ
Arkansas,South Region,AR
California,West Region,CA
Colorado,West Region,CO
Connecticut,Northeast Region,CT
Delaware,South Region,DE
Florida,South Region,FL
Georgia,South Region,GA
Hawaii,West Region,HI
Idaho,West Region,ID
Illinois,Midwest Region,IL
Indiana,Midwest Region,IN
Iowa,Midwest Region,IA
Kansas,Midwest Region,KS
Kentucky,South Region,KY
Louisiana,South Region,LA
Maine,Northeast Region,ME
Maryland,South Region,MD
Massachusetts,Northeast Region,MA
Michigan,Midwest Region,MI
Minnesota,Midwest Region,MN
Mississippi,South Region,MS
Missouri,Midwest Region,MO
Montana,West Region,MT
Nebraska,Midwest Region,NE
Nevada,West Region,NV
New Hampshire,Northeast Region,NH
New Jersey,Northeast Region,NJ
New Mexico,West Region,NM
New York,Northeast Region,NY
North Carolina,South Region,NC
North Dakota,Midwest Region,ND
Ohio,Midwest Region,OH
Oklahoma,South Region,OK
Oregon,West Region,OR
Pennsylvania,Northeast Region,PA
Rhode Island,Northeast Region,RI
South Carolina,South Region,SC
South Dakota,Midwest Region,SD
Tennessee,South Region,TN
Texas,South Region,TX
Utah,West Region,UT
Vermont,Northeast Region,VT
Virginia,South Region,VA
Washington,West Region,WA
West Virginia,South Region,WV
Wisconsin,Midwest Region,WI
Wyoming,West Region,WY
